2026/02/08 18:14:45 http: TLS handshake error from [::1]:57401: client sent an HTTP request to an HTTPS server
2026/02/09 10:20:57 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8082 | Status: 200 | Duration: 568.8µs
2026/02/09 10:20:58 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8082 | Status: 200 | Duration: 540.7µs
2026/02/09 10:20:58 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8082 | Status: 200 | Duration: 1.9481ms
2026/02/09 10:20:59 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8082 | Status: 200 | Duration: 1.21ms
2026/02/09 10:20:59 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8082 | Status: 200 | Duration: 600.7µs
2026/02/09 10:21:00 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8082 | Status: 200 | Duration: 508.8µs
2026/02/09 10:21:11 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 1.020384s
2026/02/09 10:21:12 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 14.3034ms
2026/02/09 10:21:14 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 1.0125082s
2026/02/09 10:21:15 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 648.9µs
2026/02/09 10:21:16 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 669.9213ms
2026/02/09 10:21:16 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.4283ms
2026/02/09 10:21:17 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 374.4116ms
2026/02/09 10:21:17 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.635ms
2026/02/09 10:21:18 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 738.3152ms
2026/02/09 10:21:18 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 10.8998ms
2026/02/09 10:21:20 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 1.0025637s
2026/02/09 10:21:20 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.1559ms
2026/02/09 10:21:22 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 518.759ms
2026/02/09 10:21:22 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 0s
2026/02/09 10:21:23 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 499.0502ms
2026/02/09 10:21:23 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 2.0741ms
2026/02/09 10:21:24 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 301.151ms
2026/02/09 10:21:24 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 562.7µs
2026/02/09 10:21:24 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 156.4566ms
2026/02/09 10:21:24 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 885.9µs
2026/02/09 10:21:24 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 222.8565ms
2026/02/09 10:21:24 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 7.1954ms
2026/02/09 10:21:25 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 151.8687ms
2026/02/09 10:21:25 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 777.3µs
2026/02/09 10:21:25 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 170.944ms
2026/02/09 10:21:25 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 14.6398ms
2026/02/09 10:21:25 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 151.1836ms
2026/02/09 10:21:25 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 10.4181ms
2026/02/09 10:21:26 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 385.5171ms
2026/02/09 10:21:26 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 10.0503ms
2026/02/09 10:21:27 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 519.472ms
2026/02/09 10:21:27 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.0109ms
2026/02/09 10:21:29 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 1.0182583s
2026/02/09 10:21:30 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 632.1µs
2026/02/09 10:21:31 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 676.8237ms
2026/02/09 10:21:31 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 1.4885ms
2026/02/09 10:21:33 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 1.0044652s
2026/02/09 10:21:34 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 0s
2026/02/09 10:21:35 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 1.0020221s
2026/02/09 10:21:36 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8083 | Status: 200 | Duration: 510.7µs
2026/02/09 10:21:38 GET /about -> RemoteAddr: 127.0.0.1:64168 | Backend: http://localhost:8081 | Status: 200 | Duration: 1.0163691s
2026/02/09 10:23:09 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 9.1636ms
2026/02/09 10:23:13 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 9.3456ms
2026/02/09 10:23:15 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 1.4969ms
2026/02/09 10:23:16 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 2.2869ms
2026/02/09 10:23:16 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 18.5232ms
2026/02/09 10:23:17 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 2.0845ms
2026/02/09 10:23:17 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 2.1336ms
2026/02/09 10:23:17 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 3.2579ms
2026/02/09 10:23:17 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 1.1053ms
2026/02/09 10:23:17 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 11.4032ms
2026/02/09 10:23:17 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 511.9µs
2026/02/09 10:23:18 GET /about -> RemoteAddr: 127.0.0.1:64211 | Backend: http://localhost:8082 | Status: 200 | Duration: 1.9189ms
